T_Return,SP_Return,T_Saturation,T_Outdoor,RH_Supply,RH_Return,RH_Outdoor,Energy,Power,overheat_flag
21.539999,18.5,15.58,25.299999,70.260002,54.469997,52.0,14.0,5.256,0
21.594999,18.5,15.98,25.299999,68.519997,54.379997,52.0,13.0,5.28,0
21.625,18.5,15.719999,25.299999,68.260002,53.860001,50.5,13.0,5.22,0
21.684999,18.5,16.08,25.299999,67.839996,53.949997,49.0,12.0,5.232,0
21.734999,18.5,16.219999,25.299999,64.93,53.079998,50.5,14.0,5.244,0
21.799999,18.5,16.6,25.299999,63.0,52.02,52.0,12.0,5.256,0
21.975,18.5,16.6,25.299999,62.129997,51.18,53.0,14.0,5.28,0
22.01,18.5,16.76,25.299999,60.739998,50.489998,54.0,13.0,5.22,0
22.064999,18.5,17.359999,25.299999,58.449997,49.799999,55.0,13.0,5.268,0
22.08,18.5,17.18,25.299999,57.199997,49.039997,56.0,13.0,5.196,0
22.094999,18.5,17.52,24.299999,57.779999,48.5,57.5,12.0,5.256,0
22.105,18.5,17.559999,25.299999,54.610001,47.75,59.0,15.0,5.256,0
22.094999,18.5,17.82,24.299999,52.25,46.689999,61.0,12.0,5.16,0
22.094999,18.5,18.26,24.299999,53.27,45.649998,63.0,13.0,5.22,0
22.084999,18.5,18.34,24.299999,51.869999,45.119999,63.0,13.0,5.184,0
22.055,18.5,18.299999,24.299999,51.079998,44.66,63.0,13.0,5.184,0
22.049999,18.5,18.199999,23.299999,50.799999,44.239998,67.5,13.0,5.172,0
22.01,18.5,18.34,23.299999,50.75,43.899998,72.0,12.0,5.208,0
21.969999,18.5,18.32,22.299999,51.43,43.809998,72.0,15.0,5.22,0
21.904999,18.5,18.699999,20.299999,51.41,43.879997,72.0,12.0,5.208,0
21.855,18.5,18.68,19.299999,55.349998,44.239998,74.5,12.0,2.94,0
21.814999,18.5,18.32,19.299999,57.489998,45.41,77.0,7.0,2.952,0
21.744999,18.5,18.34,18.299999,58.549999,46.279999,77.0,7.0,2.964,0
21.279999,18.5,19.18,18.299999,59.109997,47.689999,77.0,1.0,0.0,0
20.85,18.5,19.48,18.299999,59.579998,48.59,82.5,0.0,0.0,0
20.709999,18.5,19.58,18.299999,60.199997,49.07,88.0,0.0,0.0,0
20.525,18.5,19.66,18.299999,60.539997,49.669998,82.5,0.0,0.0,0
20.404999,18.5,19.559999,17.299999,62.219997,50.200001,77.0,0.0,0.0,0
20.299999,18.5,19.559999,17.299999,63.369999,50.649998,77.0,0.0,0.0,0
20.18,18.5,19.559999,17.299999,65.019997,51.27,77.0,0.0,0.0,0
20.074999,18.5,19.539999,17.299999,66.080002,51.849998,77.0,0.0,0.0,0
19.984999,18.5,19.379999,16.299999,65.869995,52.379997,77.0,0.0,0.0,0
19.93,18.5,19.32,16.299999,66.379997,52.68,82.5,0.0,0.0,0
19.875,18.5,19.279999,16.299999,66.909996,53.139999,88.0,0.0,0.0,0
19.814999,18.5,19.24,16.299999,67.369995,53.539997,85.0,0.0,0.0,0
19.754999,18.5,19.199999,16.299999,67.589996,53.829998,82.0,0.0,0.0,0
19.705,18.5,19.18,16.299999,67.830002,54.110001,82.0,0.0,0.0,0
19.674999,18.5,19.139999,16.299999,68.169998,54.449997,82.0,0.0,0.0,0
19.625,18.5,19.119999,16.299999,68.209999,54.699997,82.0,0.0,0.0,0
19.574999,18.5,19.1,16.299999,68.099998,54.91,82.0,0.0,0.0,0
19.525,18.5,19.08,16.299999,68.019997,55.09,82.0,0.0,0.0,0
19.465,18.5,19.08,15.3,68.040001,55.259998,82.0,0.0,0.0,0
19.414999,18.5,19.02,15.3,67.919998,55.379997,82.0,0.0,0.0,0
